Date,NL_Banks,NL_Specialist_Lenders,NL_Others,NL_Total,BO_Banks,BO_Specialist Lenders,BO_Others,BO_Total,LP_House_Purchase,LP_Remortgaging,LP_Other
1/1/1999,1732,47,5,1784,420518,27346,2297,450161,,,
1/2/1999,299,1186,5,1490,420801,28529,2296,451626,,,
1/3/1999,2588,245,5,2839,423354,29722,2295,455371,,,
1/4/1999,2727,337,3,3067,425679,30296,2292,458267,,,
1/5/1999,2606,209,3,2818,428273,30503,2288,461064,,,
1/6/1999,3181,350,3,3535,431590,30678,2284,464552,,,
1/7/1999,3686,448,-39,4096,435303,31067,2236,468605,,,
1/8/1999,3098,324,-39,3383,438402,31407,2188,471997,,,
1/9/1999,3598,342,-39,3901,441995,31772,2139,475906,,,
1/10/1999,1633,2008,-193,3449,443595,33791,1921,479307,,,
1/11/1999,3162,316,-193,3284,446739,34129,1704,482572,,,
1/12/1999,2233,547,-193,2587,448946,34692,1488,485126,,,
1/1/2000,2280,295,28,2603,451307,35307,1786,488399,,,
1/2/2000,1705,163,28,1896,453033,35570,1815,490419,,,
1/3/2000,2694,905,28,3627,455721,36510,1843,494073,,,
1/4/2000,2667,300,7,2974,458569,36813,1849,497230,,,
1/5/2000,2127,1154,7,3288,460560,37965,1855,500380,,,
1/6/2000,4211,490,7,4708,464762,38457,1862,505081,,,
1/7/2000,612,2611,15,3238,465450,41071,1877,508398,,,
1/8/2000,3439,581,15,4035,468878,41661,1892,512432,,,
1/9/2000,1533,1725,15,3273,470397,43386,1907,515690,,,
1/10/2000,2155,441,10,2606,472540,44127,1917,518584,,,
1/11/2000,794,3252,10,4057,473322,47380,1927,522629,,,
1/12/2000,2302,245,10,2557,481972,41202,1937,525111,,,
1/1/2001,2841,266,41,3148,484805,41468,1959,528232,,,
1/2/2001,1324,1112,41,2477,486124,42840,1999,530964,,,
1/3/2001,1744,1926,41,3711,488309,44338,2040,534687,,,
1/4/2001,3415,131,7,3553,491830,44469,2047,538346,,,
1/5/2001,1865,2710,7,4582,493685,47179,2055,542920,,,
1/6/2001,4670,541,7,5218,498400,47825,2062,548286,,,
1/7/2001,1901,3114,-10,5004,500291,50938,2052,553281,,,
1/8/2001,5371,634,-10,5995,505537,51573,2042,559151,,,
1/9/2001,2766,1839,-10,4595,508417,53411,2032,563860,,,
1/10/2001,4034,383,9,4427,512437,53795,2041,568273,,,
1/11/2001,2325,3187,9,5521,514751,56982,2049,573782,,,
1/12/2001,3053,407,9,3470,517952,57234,2058,577244,,,
1/1/2002,4292,341,83,4716,522241,57575,2141,581957,,,
1/2/2002,3258,466,83,3807,525747,58189,2225,586162,,,
1/3/2002,2332,2780,83,5195,528077,61161,2308,591546,,,
1/4/2002,5257,20,-26,5251,533331,61181,2282,596794,,,
1/5/2002,7049,594,-26,7616,540380,61927,2257,604564,,,
1/6/2002,2598,3740,-26,6312,542795,65731,2231,610757,,,
1/7/2002,6552,775,-62,7265,549342,70605,2169,622116,,,
1/8/2002,7251,726,-62,7915,556589,71330,2108,630027,,,
1/9/2002,3395,3719,-62,7051,559981,75212,2046,637239,,,
1/10/2002,7058,992,18,8068,567036,76242,2064,645341,,,
1/11/2002,3498,4373,18,7889,570529,80588,2081,653198,,,
1/12/2002,4731,1117,18,5866,575257,81834,2099,659190,,,
1/1/2003,3525,3900,62,7487,578778,85875,2161,666814,,,
1/2/2003,4494,854,62,5410,583270,86728,2223,672221,,,
1/3/2003,-1446,8099,62,6716,581521,95128,2285,678934,,,
1/4/2003,6480,368,24,6872,586991,95466,2309,684766,,,
1/5/2003,4504,3305,24,7833,591485,98771,2332,692588,,,
1/6/2003,5567,3259,24,8851,597042,101981,2356,701380,,,
1/7/2003,8444,1181,22,9647,605475,103162,2378,711016,,,
1/8/2003,8116,656,22,8794,612077,105345,2401,719824,,,
1/9/2003,5863,3986,22,9871,617198,109324,2423,728945,,,
1/10/2003,10108,691,24,10823,626536,110781,2447,739764,,,
1/11/2003,3191,6160,24,9375,629889,116925,2470,749284,,,
1/12/2003,5621,1982,24,7627,635507,118737,2494,756738,,,
1/1/2004,4542,4166,-19,8688,639979,122906,2475,765360,,,
